id,transaction_date,authorization_time,amount,currency,merchant_id,network_merchant_name,subcategory_id
ae4f5d333e34af4762d0740361b60725,2019-08-31,,9900,SEK,spotify,PAYPAL *SPOTIFY,921a55be-4097-4a39-9849-a3b2a2028b32
072985c27c254db2c810db2cc1939055,2019-08-31,,1000,SEK,0a562046-a578-432e-a293-e4884995ab19,DOLLARSTORE LUDVIKA,85d6556d-929a-4758-9ef7-c776383bc9fe
96cbe6a334e9afb37a496bc4b54c336a,2019-08-31,,2000,SEK,burger-king,BURGER KING JAR,d9deaea8-f96a-4d4b-83a8-d48389de594a
ec310b8091caab179e30ad1ebd7db1ab,2019-08-31,2019-08-31T18:37:29.000Z,49000,SEK,89c6c675-a947-4060-87ba-48ec607e690e,SUSHI ROOM PIER,eb1ab643-e019-4fd6-b396-411c229808a6
48090fb9cbf5a03847f3ec00a4685011,2019-08-31,,46470,SEK,89bf9f44-c5bc-475f-bc5e-6c3529d85d80,MIO SUNDSVALL,5113119d-26ef-436e-8486-a71ed94e396d
c7ac039ca0a74b88f8756b8f6872a294,2019-08-31,2019-08-31T06:21:39.000Z,1595,SEK,0a12d4d1-c671-4e2b-a6b4-e6e3fa584fa9,CITY GROSS GAVLE,4c729494-0519-4d5e-b25d-a794e139cce8
42981d599c5343c98254b20d0abdde81,2019-08-31,,20005,SEK,statoil,CIRCLE K UPPSALA BERBYLED,1c680d8b-3f77-42a1-b0a0-587ae3b60945
00866f57ac32659f07ca989205fe3dbf,2019-08-31,2019-08-31T11:28:15.000Z,7600,SEK,max,STHLM 4 - CITY,d9deaea8-f96a-4d4b-83a8-d48389de594a
195e9dc893db805911888a74f784e81d,2019-08-31,,5400,SEK,,SEJDELN PUB,84fe55b7-0537-487e-9587-74c38d379132
719d1897c308a52c8c4ffa2d41a26a1e,2019-08-31,2019-08-31T06:34:31.000Z,31900,SEK,,Klarna *kicks se,52e2a1db-c77e-4cc6-9443-41042abb92a9
fba53681fad6e3bf96c0009f8bbd1565,2019-08-31,,3000,SEK,1e1bd9bf-f316-4ca5-8e67-0ee93c6e3216,MY WAY,f0ddb0b5-f57c-476b-8955-85089ade4c51
3495adb198cd76281bafd33a136220e8,2019-08-31,,73200,SEK,ikea,IKEA   SUNDSVALL,ba955e8f-bb61-4a82-b9d0-e7e07bc3806a
bfc7a0f796559572142c77dec5a7c516,2019-08-31,2019-08-31T18:48:52.000Z,20000,SEK,,BET365,1b237ab0-3814-43bd-a9c0-52d57791c54f
2e8d9f679c984cccd7357fe77e5065bb,2019-08-31,2019-08-31T19:28:07.000Z,650,EUR,a7653eb7-0026-4bee-b73e-d632e2119394,VFI*VANTRAN Group OY,c69353eb-7a0d-4a27-913b-7e39ad2edf2d
9a66a5896f425c075d6ba63d559222c0,2019-08-31,,88430,SEK,02edbcbd-dd24-426d-a2b1-2d7a6dce4973,CERVERA BACKAPLAN 3106,54c8e599-3452-4381-bc70-b58b064ef760
11c38208544fb07006277495509466b0,2019-08-31,2019-08-31T17:14:40.000Z,8525,SEK,lidl,LIDL 354 STHLM KISTAGA,4c729494-0519-4d5e-b25d-a794e139cce8
f5e26c3dc545cab972aaeb04b629530b,2019-08-31,,5300,SEK,starbucks,STARBUCKS AVD 6,c7bb852a-c9b4-41d8-89a5-2487106106d9
d67b581e1aea628b00f4e6989e045efe,2019-08-31,2019-08-31T10:17:17.000Z,19000,SEK,a781692f-ae71-4c19-ac05-f6b10d6a7290,OOB VISBY 88,85d6556d-929a-4758-9ef7-c776383bc9fe
b4ca210cf8fb44b429a32868be808774,2019-08-31,2019-08-31T18:47:47.000Z,1300,SEK,,KOLLEKTIVTRAFIKMYNDIGHET,ba8f2b9d-9063-4e3c-ac71-eb3538b5c3b8
81316e9b88c40ae92ceef1e8903d5f5b,2019-08-31,2019-08-31T15:34:27.000Z,6680,SEK,ica-maxi,MAXI ICA STORMARKNAD U,4c729494-0519-4d5e-b25d-a794e139cce8
7d3f411242f3e7ccc93f77090b68f4f7,2019-08-31,,15925,SEK,coop,COOP KONSUM OSTERVALA,4c729494-0519-4d5e-b25d-a794e139cce8
7f2137730256f911fce372d5516167b1,2019-08-31,2019-08-31T11:05:05.000Z,17900,SEK,,SVETSPRODUKTER,6ca36f06-4b66-4d3b-8f58-21fac9495bbb
035d1b76963a2d7c316761a5ec924716,2019-08-31,2019-08-31T15:57:04.000Z,3700,EUR,1ac6a190-eab9-48ce-a2d9-7b47cb1e096a,iZ *Backom Cafe   Pub,c7bb852a-c9b4-41d8-89a5-2487106106d9
31ac8db856ac9770d27650be080d8b27,2019-08-31,,24355,SEK,coop,STORA COOP LJUSDAL,4c729494-0519-4d5e-b25d-a794e139cce8
6af5f95ec5e29a7234089d221088d0d0,2019-08-31,2019-08-31T19:46:52.000Z,7800,SEK,coop,STORA COOP STADION,4c729494-0519-4d5e-b25d-a794e139cce8
dd30338fa3fcc7823c454fc4b2e79afd,2019-08-31,,29900,SEK,stadium,STADIUM TABY 2,0a9b5e01-8955-4cb0-a1bf-e8244b73427a
ac65986c15ca92b4cc69ed3ed55dd138,2019-08-31,2019-08-31T09:59:59.000Z,9000,SEK,,FAGERBERGS VARA,2a03c5b7-c451-4e0b-9a60-018a2adb6776
fe16b477bf9d54eb2a54b276d19a91e1,2019-08-31,,19000,SEK,97aca05e-efd2-405b-9395-e3f8ad40e8af,MOLLANS CAFE,2f17b175-0dfa-4dad-aff8-2f63803a2edd
a5750637d28031514e8dbd133b4e3eb5,2019-08-31,,10500,SEK,,IZ *STOCKHOLMS GOL,20aebcc6-4ff8-4ce7-8778-f387f522c7cb
a1a1ad4eaac553935dc59d255e8c3bbd,2019-08-31,,34200,SEK,,TINAS TRÄ O TEXTIL,9b5ec8ee-4818-4af6-afbb-723c58849e4e
839031897df68521b09c6c4d6bfae217,2019-08-31,,2000,SEK,,MASMO SNABBKOP,4c729494-0519-4d5e-b25d-a794e139cce8
f471e16517a0e004fbba51fec775e031,2019-08-31,,26900,SEK,,NORRTÄLJE BADHU,5be92d72-2096-4ca8-936e-1fc8f867c993
